,avg,gen,max,min,nevals
0,2.902275,0,3.37,2.58,80
1,2.7333,1,3.05,2.568,46
2,2.6282,2,2.89,2.45,46
3,2.57445,3,2.688,2.45,53
4,2.5356,4,2.77,2.45,46
5,2.48565,5,2.64,2.43,49
6,2.460725,6,2.612,2.422,52
7,2.45225,7,2.668,2.41,52
8,2.4323,8,2.596,2.4,55
9,2.4196,9,2.562,2.398,47
10,2.4163,10,2.68,2.396,47
