,datetime,setting_ORIFICE R1
0,2018-02-06 00:15:08,0.4
1,2018-02-06 00:30:08,0.2
2,2018-02-06 00:45:08,0.3
3,2018-02-06 01:00:08,0.8
4,2018-02-06 01:15:08,0.9
5,2018-02-06 01:30:08,0.0
6,2018-02-06 01:45:08,0.1
7,2018-02-06 02:00:08,0.9
8,2018-02-06 02:15:08,0.7
9,2018-02-06 02:30:08,0.0
10,2018-02-06 02:45:08,0.1
11,2018-02-06 03:00:08,0.6
12,2018-02-06 03:15:08,0.0
13,2018-02-06 03:30:08,0.7
14,2018-02-06 03:45:08,0.3
15,2018-02-06 04:00:08,0.8
16,2018-02-06 04:15:08,0.3
17,2018-02-06 04:30:08,0.0
18,2018-02-06 04:45:08,0.0
19,2018-02-06 05:00:08,0.3
20,2018-02-06 05:15:08,0.8
21,2018-02-06 05:30:08,0.0
22,2018-02-06 05:45:08,0.2
23,2018-02-06 06:00:08,0.6
24,2018-02-06 06:15:08,0.8
25,2018-02-06 06:30:08,1.0
26,2018-02-06 06:45:08,0.5
27,2018-02-06 07:00:08,0.6
28,2018-02-06 07:15:17,1.0
29,2018-02-06 07:30:17,0.7
30,2018-02-06 07:45:17,0.8
31,2018-02-06 08:00:17,0.4
32,2018-02-06 08:15:17,0.1
33,2018-02-06 08:30:17,0.4
34,2018-02-06 08:45:17,0.2
35,2018-02-06 09:00:17,0.5
36,2018-02-06 09:15:17,0.5
37,2018-02-06 09:30:17,0.1
38,2018-02-06 09:45:17,0.3
39,2018-02-06 10:00:17,0.2
40,2018-02-06 10:15:17,0.6
41,2018-02-06 10:30:17,0.4
42,2018-02-06 10:45:17,0.0
43,2018-02-06 11:00:17,0.0
44,2018-02-06 11:15:17,0.2
45,2018-02-06 11:30:17,0.1
46,2018-02-06 11:45:17,0.1
47,2018-02-06 12:00:17,0.4
48,2018-02-06 12:15:17,0.4
49,2018-02-06 12:30:17,0.6
50,2018-02-06 12:45:17,0.3
51,2018-02-06 13:00:17,0.4
52,2018-02-06 13:15:17,0.5
53,2018-02-06 13:30:26,0.6
54,2018-02-06 13:45:26,0.7
55,2018-02-06 14:00:26,0.6
56,2018-02-06 14:15:26,0.6
57,2018-02-06 14:30:26,0.5
58,2018-02-06 14:45:26,0.2
59,2018-02-06 15:00:26,0.7
60,2018-02-06 15:15:26,0.6
61,2018-02-06 15:30:26,0.9
62,2018-02-06 15:45:26,0.2
