,J1,J2,J3,Out1,St1,datetime
0,0.0,0.432109579608,0.538480955282,0.477581749555,0.719731993553,2018-02-06 00:15:08
1,0.0,0.421972546487,0.524971060078,0.466965000146,0.6911559132,2018-02-06 00:30:08
2,0.0,0.424212188874,0.531011537696,0.471890429417,0.662616544976,2018-02-06 00:45:08
3,0.0,0.399477871278,0.497442953796,0.445832688747,0.636439381903,2018-02-06 01:00:08
4,0.0,0.372794845437,0.459300076867,0.414442532011,0.614041793181,2018-02-06 01:15:08
5,0.0,0.365647860078,0.450020037079,0.406873792555,0.592385586378,2018-02-06 01:30:08
6,0.0,0.352471806826,0.432870174316,0.392455934506,0.572202136078,2018-02-06 01:45:08
7,0.0,0.140831456275,0.171591267342,0.153256973229,0.569022633109,2018-02-06 02:00:08
8,0.0,0.218143933315,0.263678948905,0.241107955478,0.561285483548,2018-02-06 02:15:08
9,0.0,0.33291002595,0.407636125128,0.370776356913,0.542945683187,2018-02-06 02:30:08
10,0.0,0.0181770274964,0.0622055324067,0.0483629352494,0.542848027083,2018-02-06 02:45:08
11,0.0,0.214517004785,0.259163671075,0.236682114466,0.535345382187,2018-02-06 03:00:08
12,0.0,0.213456262447,0.258125161465,0.235671195359,0.527952053368,2018-02-06 03:15:08
13,0.0,0.311006994086,0.379172761905,0.345732061748,0.512222358858,2018-02-06 03:30:08
14,0.0,0.136183542864,0.166139639304,0.147578858175,0.509268566246,2018-02-06 03:45:08
15,0.0,0.309045356357,0.377333492188,0.34419367337,0.493295750444,2018-02-06 04:00:08
16,0.132697001804,0.207326263845,0.250823707426,0.228403943986,0.487021466751,2018-02-06 04:15:08
17,0.349662920909,0.301846815307,0.366709224552,0.334586868312,0.482642147059,2018-02-06 04:30:08
18,0.529860298714,0.313052008463,0.378573341774,0.344682793352,0.502816950663,2018-02-06 04:45:08
19,0.673037672108,0.321225766401,0.389086169085,0.35416510883,0.551987841693,2018-02-06 05:00:08
20,0.970678944427,0.389650414783,0.470070104449,0.421302033942,0.64695064185,2018-02-06 05:15:08
21,1.21301037453,0.247632063545,0.296535722039,0.270642337977,0.829550029491,2018-02-06 05:30:08
22,1.40065626706,0.577286119543,0.742448930778,0.606854119051,1.04166091307,2018-02-06 05:45:08
23,1.54601423306,0.458053289692,0.5665348179,0.496809400664,1.31412561189,2018-02-06 06:00:08
24,1.54480119159,1.04299508311,1.40098556499,0.737685689926,1.56958940936,2018-02-06 06:15:16
25,1.54001617071,1.09862958093,1.42871969871,0.740787810911,1.82539956132,2018-02-06 06:30:25
26,1.53692227696,0.765336330324,1.35354649305,0.732191870834,2.08138822046,2018-02-06 06:45:25
27,1.53449835312,0.343116870666,0.417454113821,0.378606522992,2.38201155899,2018-02-06 07:00:25
28,1.38665209903,1.74032032559,1.7482010029,0.773324350617,2.60613670523,2018-02-06 07:15:25
29,1.29605249261,1.89734367278,1.82645022674,0.78045994545,2.79735301926,2018-02-06 07:30:25
30,1.23764961484,2.24570415114,1.9993146964,0.795832126911,2.96385331592,2018-02-06 07:45:25
31,1.19824109837,0.929426268498,1.45781745312,0.744237289715,3.12584563359,2018-02-06 08:00:25
32,1.07330657739,0.228364976217,0.275949781606,0.251896939599,3.3230943587,2018-02-06 08:15:25
33,0.986956207858,0.384013382969,0.471612163943,0.424110998531,3.47515870966,2018-02-06 08:30:25
34,0.926101599259,1.8754660465,1.81579673919,0.779575281647,3.55279743003,2018-02-06 08:45:25
35,0.881912841446,0.390230448786,0.479939913362,0.431074510071,3.66836212241,2018-02-06 09:00:25
36,0.75831135145,0.236312759216,0.285757657678,0.26087980656,3.77679226923,2018-02-06 09:15:25
37,0.662947095931,0.0172226628824,0.0582775827788,0.0454387166711,3.86653819293,2018-02-06 09:30:25
38,0.588405513351,0.397802876413,0.49019343768,0.439690691093,3.91255549734,2018-02-06 09:45:25
39,0.528496434425,0.239338915917,0.289599395355,0.264494678738,3.95970128918,2018-02-06 10:00:25
40,0.47929329626,1.52483843843,1.64103020493,0.763567932618,3.93265857463,2018-02-06 10:15:25
41,0.438304765652,2.11750674321,1.9362328599,0.790405283212,3.89383320027,2018-02-06 10:30:25
42,0.403404369841,1.47721072574,1.61720661398,0.761342609273,3.85462367392,2018-02-06 10:45:25
43,0.373593042402,2.41823402276,2.0,0.795995520049,3.8006794767,2018-02-06 11:00:25
44,0.34756763594,0.540030158574,0.693382376474,0.581053245881,3.78212675409,2018-02-06 11:15:25
45,0.324720644637,0.687169736918,1.09609238228,0.700856321186,3.74201808242,2018-02-06 11:30:25
46,0.304864156661,0.235961649186,0.285713844429,0.260897057281,3.75039829274,2018-02-06 11:45:25
47,0.287315367423,0.537267141517,0.688945557341,0.578475763272,3.72440356711,2018-02-06 12:00:25
48,0.271300782354,1.95247079309,1.85433892961,0.78312127412,3.66108775277,2018-02-06 12:15:25
49,0.256754809064,0.234521035785,0.284065953011,0.259386848932,3.66408438659,2018-02-06 12:30:25
50,0.243959244135,0.389871261503,0.479972914586,0.43119126443,3.65132246539,2018-02-06 12:45:25
51,0.232319128664,1.89788003051,1.82719310058,0.780682165605,3.58414822209,2018-02-06 13:00:25
52,0.22165567139,0.671098376272,1.01329793552,0.689745476642,3.53473172112,2018-02-06 13:15:25
53,0.211952126667,2.412860875,2.0,0.795995520049,3.46115865904,2018-02-06 13:30:25
54,0.202990890943,2.3618019423,2.0,0.795995520049,3.38792040089,2018-02-06 13:45:25
