,datetime,setting_ORIFICE R1
0,2018-02-06 00:15:08,0.2
1,2018-02-06 00:30:08,0.3
2,2018-02-06 00:45:08,1.0
3,2018-02-06 01:00:08,0.7
4,2018-02-06 01:15:08,1.0
5,2018-02-06 01:30:08,0.6
6,2018-02-06 01:45:08,0.7
7,2018-02-06 02:00:08,0.0
8,2018-02-06 02:15:08,0.0
9,2018-02-06 02:30:08,0.3
10,2018-02-06 02:45:08,0.8
11,2018-02-06 03:00:08,0.8
12,2018-02-06 03:15:08,0.1
13,2018-02-06 03:30:08,0.8
14,2018-02-06 03:45:08,0.8
15,2018-02-06 04:00:08,0.1
16,2018-02-06 04:15:08,0.7
17,2018-02-06 04:30:08,0.3
18,2018-02-06 04:45:08,0.1
19,2018-02-06 05:00:08,0.4
20,2018-02-06 05:15:08,0.2
21,2018-02-06 05:30:08,0.7
22,2018-02-06 05:45:08,0.4
